fips,NAME,median_age
13113,"Fayette County, Georgia",43.2
13115,"Floyd County, Georgia",38.0
13117,"Forsyth County, Georgia",39.2
13119,"Franklin County, Georgia",40.9
13121,"Fulton County, Georgia",36.1
13123,"Gilmer County, Georgia",49.6
13125,"Glascock County, Georgia",43.2
13127,"Glynn County, Georgia",43.3
13129,"Gordon County, Georgia",39.1
13131,"Grady County, Georgia",39.8
13133,"Greene County, Georgia",51.2
13135,"Gwinnett County, Georgia",35.7
13137,"Habersham County, Georgia",39.0
13139,"Hall County, Georgia",37.8
13141,"Hancock County, Georgia",46.0
13143,"Haralson County, Georgia",39.2
13145,"Harris County, Georgia",43.2
13147,"Hart County, Georgia",45.1
13149,"Heard County, Georgia",40.7
13151,"Henry County, Georgia",36.9
13153,"Houston County, Georgia",36.1
13155,"Irwin County, Georgia",39.8
13157,"Jackson County, Georgia",37.9
13159,"Jasper County, Georgia",42.2
13161,"Jeff Davis County, Georgia",39.1
13163,"Jefferson County, Georgia",40.7
13165,"Jenkins County, Georgia",44.0
13167,"Johnson County, Georgia",42.7
13169,"Jones County, Georgia",41.3
13171,"Lamar County, Georgia",37.6
13173,"Lanier County, Georgia",36.5
13175,"Laurens County, Georgia",39.2
13177,"Lee County, Georgia",37.0
13179,"Liberty County, Georgia",28.6
13181,"Lincoln County, Georgia",47.1
13183,"Long County, Georgia",34.4
13185,"Lowndes County, Georgia",30.9
13187,"Lumpkin County, Georgia",35.9
13189,"McDuffie County, Georgia",38.5
13191,"McIntosh County, Georgia",51.8
13193,"Macon County, Georgia",40.1
13195,"Madison County, Georgia",40.2
13197,"Marion County, Georgia",43.8
13199,"Meriwether County, Georgia",43.6
13201,"Miller County, Georgia",43.2
13205,"Mitchell County, Georgia",39.5
13207,"Monroe County, Georgia",42.6
13209,"Montgomery County, Georgia",37.5
13211,"Morgan County, Georgia",43.1
13213,"Murray County, Georgia",39.7
13215,"Muscogee County, Georgia",34.9
13217,"Newton County, Georgia",36.4
13219,"Oconee County, Georgia",41.2
13221,"Oglethorpe County, Georgia",42.2
13223,"Paulding County, Georgia",36.6
13225,"Peach County, Georgia",38.1
13227,"Pickens County, Georgia",46.3
13229,"Pierce County, Georgia",39.8
13231,"Pike County, Georgia",40.2
13233,"Polk County, Georgia",37.9
13235,"Pulaski County, Georgia",42.2
13237,"Putnam County, Georgia",48.6
13239,"Quitman County, Georgia",59.1
13241,"Rabun County, Georgia",49.4
13243,"Randolph County, Georgia",39.0
13245,"Richmond County, Georgia",34.8
13247,"Rockdale County, Georgia",39.0
13249,"Schley County, Georgia",38.4
13251,"Screven County, Georgia",41.9
13253,"Seminole County, Georgia",45.0
13255,"Spalding County, Georgia",38.9
13257,"Stephens County, Georgia",41.9
13259,"Stewart County, Georgia",37.4
13261,"Sumter County, Georgia",36.9
13263,"Talbot County, Georgia",49.9
13265,"Taliaferro County, Georgia",47.2
13267,"Tattnall County, Georgia",38.1
13269,"Taylor County, Georgia",43.2
13271,"Telfair County, Georgia",40.1
13273,"Terrell County, Georgia",40.5
13275,"Thomas County, Georgia",39.9
13277,"Tift County, Georgia",36.5
13279,"Toombs County, Georgia",37.5
13281,"Towns County, Georgia",56.3
13283,"Treutlen County, Georgia",43.2
13285,"Troup County, Georgia",37.2
13287,"Turner County, Georgia",38.9
13289,"Twiggs County, Georgia",45.9
13291,"Union County, Georgia",55.9
13293,"Upson County, Georgia",41.5
13295,"Walker County, Georgia",42.0
13297,"Walton County, Georgia",39.4
13299,"Ware County, Georgia",37.9
13301,"Warren County, Georgia",45.3
13303,"Washington County, Georgia",40.8
13305,"Wayne County, Georgia",38.7
13307,"Webster County, Georgia",42.6
13309,"Wheeler County, Georgia",33.9
13311,"White County, Georgia",45.3
13313,"Whitfield County, Georgia",36.4
13315,"Wilcox County, Georgia",41.4
13317,"Wilkes County, Georgia",45.5
13319,"Wilkinson County, Georgia",42.2
13321,"Worth County, Georgia",41.6
